"BibNum","Title","Author","ISBN","PubYear","Subjects","ItemType","ItemCollection","maxCopies"
123911,"Boy at the window, a novel.","Dodson, Owen, 1914-1983","","1951","","acbk","cs3fic",2
126470,"The Brooks legend.","Ellis, William Donohue","","1958","","acbk","cs3fic",1
147408,"Doctor Bradley remembers.","Young, Francis Brett, 1884-1954","","1938","","acbk","cs3fic",1
126789,"The plums hang high.","Finney, Gertrude E. Bridgeman.","","1955","","acbk","cs3fic",1
473024,"False colors","Borgenicht, Miriam","0312280114","1985","","acbk","cs3fic",1
3204072,"The shadow of things to come","Efoui, Kossi, 1962-","0857420992, 9780857420992","2013","Soldiers Conduct of life Fiction, War Moral and ethical aspects Fiction, War and society Fiction, Africa Politics and government Fiction","acbk","cafic",2
386875,"Return to Región","Benet, Juan","0231054564","1985","","acbk","cs3fic",1
1274010,"Doctor Criminale","Bradbury, Malcolm, 1932-2000","0670846775","1992","Black humor","acbk","cs3fic",1
418450,"General Crack,","Bowen, Marjorie, 1888-1952","","1928","","acbk","cs3fic",1
3261813,"Blood brothers","Nelson, Colleen","1459737466, 9781459737464","2017","Gangs Juvenile fiction, Friendship Juvenile fiction, Gangs Fiction, Friendship Fiction, Young adult fiction","acbk","cyfic",4
100531,"Light in the sky","Young, Agnes Brooks, 1898-1974","","1948","","acbk","cs3fic",1
9628,"Contact : short stories of the 1960s","Finn, F. E. S. (Frederick Edward Simpson)","0719518776, 0719518784","1969","Short stories","acbk","cs3fic",2
181779,"Back o' the mountain, by Margaret Flint.","Flint, Margaret, 1891-1960","","1940","","acbk","cs3fic",1
243947,"Falling through the night, a novel.","Fedoroff, Alexander","","1964","","acbk","cs3fic",2
167846,"The running iron.","Fish, Rachel Ann, 1903-1975","","1957","","acbk","cs3fic",1
1359787,"The fanatics. New York, Dodd, Mead, 1901.","Dunbar, Paul Laurence, 1872-1906.","","1969","","acbk","naaafic",1
1301800,"Superspill : an account of the 1978 grounding at Bird Rocks","Becker, Mary Kay","","1989","Oil spills Washington State Puget Sound Fiction","acbk","cs3fic",1
598124,"Pro quarterback.","Haines, Donal Hamilton, 1886-1951","","1940","","acbk","cs3fic",1
126758,"Jacoby's Corners, by Jake Falstaff.","Falstaff, Jake, 1899-1935","","1940","","acbk","cs3fic",1
287374,"The reverberator.","James, Henry, 1843-1916","","1888","","acbk","cs3fic",1
151789,"Family on the hill","Flack, Ambrose.","","1945","","acbk","cs3fic",1
595066,"The Abbé Constantin; with a brief intro. by James Kendrick.","Halévy, Ludovic, 1834-1908","","1923","","acbk","cs3fic",1
1330936,"Stripping, and other stories","Kennedy, Pagan, 1962-","1852423226","1994","Young women United States Social life and customs Fiction","acbk","cafic",1
420042,"White victory.","Case, Robert Ormond, 1895-1964","","1943","","acbk","cs3fic",1
314503,"Garden shower.","Running, Corinne","","1948","","acbk","cs3fic",1
262509,"The romance of a poor young man; tr. from the French ... with a critical introduction by Henry Harland.","Feuillet, Octave, 1821-1890","","1908","","acbk","cs3fic",1
125471,"Restless are the sails [by] Evelyn Eaton.","Eaton, Evelyn Sybil Mary, 1902-","","1941","Louisbourg N S History Siege 1745 Fiction","acbk","cs3fic",1
1318532,"The quest for Shar-i-sabs.","Bier, Philip N.","0805933530","1993","","acbk","cs3fic",1
3284047,"Stella in heaven : almost a novel","Buchwald, Art","0399146423, 9780399146428","2000","Spouses Death Psychological aspects Fiction, Widowers Fiction, Psychological fiction","acbk","cafic",1
493509,"Promised land","Belfrage, Cedric, 1904-1990","0824028651","1977","","acbk","cafic",1
586208,"In the bright April weather.","Mitchell, Susanna Valentine","","1952","","acbk","cs3fic",1
615554,"The cave and the rock.","Faure, Raoul C. (Raoul Cohen), 1909-1987","","1953","Godiva Lady active 1040 1080","acbk","cs3fic",1
213892,"Rico, bandit and dictator, by Antonio de Fierro Blanco.","Fierro Blanco, Antonio de, 1858-1937.","","1934","","acbk","cs3fic",1
266886,"A German officer; tr. by Antonia White.","Groussard, Serge, 1921-","","1955","","acbk","cs3fic",1
702398,"Doctor in buckskin.","Allen, T. D., pseud","","1951","Whitman Marcus 1802 1847 Juvenile fiction, Whitman Narcissa Prentiss 1808 1847 Juvenile fiction","acbk","cs3fic",1
598084,"A castle in Carinthia, by Johan Fabricius; translated from the Dutch by G.J. Renier and David Hallett.","Fabricius, Johan, 1899-1981","","1940","","acbk","cs3fic",1
23329,"George and Anna","Rees, Barbara","006013528X","1976","","drbk","nafic",1
62657,"The time of Adam; stories.","Cullinan, Elizabeth, 1933-","","1971","","acbk","cs3fic",1
340191,"On the trail of 1960; a Utopian novel.","Wiley, Ray H., 1909-","","1950","Utopias in literature","acbk","cs3fic",1
420245,"Papa La Fleur, by Zona Gale.","Gale, Zona, 1874-1938","","1933","","acbk","cs3fic",1
583932,"This side of Jordan, by Roark Bradford...with drawings by Erick Berry.","Bradford, Roark, 1896-1948","","1929","","acbk","cs3fic",1
125539,"Mostly canallers; collected stories by Walter D. Edmonds.","Edmonds, Walter Dumaux, 1903-1998","","1934","","acbk","cs3fic",1
